GenusSpecies	Gene	Occurances	Program	Database	Auto	Date
Chlamydia trachomatis	Chlamydia_trachomatis_intrinsic_murA_conferring_resistance_to_fosfomycin	161	abricate	card	auto	20191028
Chlamydia trachomatis	tet(C)	6	abricate	card	auto	20191028
Chlamydia trachomatis	Enterococcus_faecium_chloramphenicol_acetyltransferase	1	abricate	card	auto	20191028
Chlamydia trachomatis	TEM-183	1	abricate	card	auto	20191028
Chlamydia trachomatis	TEM-116	10	abricate	card	auto	20191028
Chlamydia trachomatis	rep7b_4_SAP109B006(pSK103)	1	abricate	plasmidfinder	auto	20191028
Chlamydia trachomatis	rep10_6_rep(SAP093B)	1	abricate	plasmidfinder	auto	20191028
Chlamydia trachomatis	tet(C)_3	6	abricate	resfinder	auto	20191028
Chlamydia trachomatis	cat(pC233)_1	1	abricate	resfinder	auto	20191028
Chlamydia trachomatis	blaTEM-1A_1	1	abricate	resfinder	auto	20191028
Chlamydia trachomatis	blaTEM-116_1	10	abricate	resfinder	auto	20191028
Chlamydia trachomatis	tet(C)	6	abricate	ncbi	auto	20191028
Chlamydia trachomatis	catA8	1	abricate	ncbi	auto	20191028
Chlamydia trachomatis	blaTEM-150	1	abricate	ncbi	auto	20191028
Chlamydia trachomatis	blaTEM-116	10	abricate	ncbi	auto	20191028
Chlamydia trachomatis	slc1	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	scc1	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	copN	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsV	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsU	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	incE	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	incA	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	incB	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	incC	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	CT274	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	tarp	45	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsJ	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsL	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsR	160	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsS	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsT	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	scc2	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	copB	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	copD	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	scc4	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsD	160	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsE	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsF	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsG	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	CT668	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsN	160	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsO	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsP	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsQ	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	pkn5	160	abricate	vfdb	auto	20191028
Chlamydia trachomatis	cdsC	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	CT847	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	copD2	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	copB2	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	scc3	161	abricate	vfdb	auto	20191028
Chlamydia trachomatis	(Tet)tetC	6	abricate	argannot	auto	20191028
Chlamydia trachomatis	(Phe)cat-pC223	1	abricate	argannot	auto	20191028
Chlamydia trachomatis	(AGly)aadC	1	abricate	argannot	auto	20191028
Chlamydia trachomatis	(Bla)blaTEM-150	1	abricate	argannot	auto	20191028
Chlamydia trachomatis	(Bla)blaTEM-116	10	abricate	argannot	auto	20191028
Bacillus anthracis	BLA1	189	abricate	card	auto	20191028
Bacillus anthracis	Bla2	188	abricate	card	auto	20191028
Bacillus anthracis	rep3_4_CDS38(pOX2)	134	abricate	plasmidfinder	auto	20191028
Bacillus anthracis	fosB2_1	182	abricate	resfinder	auto	20191028
Bacillus anthracis	bla1	189	abricate	ncbi	auto	20191028
Bacillus anthracis	satA_Ba	186	abricate	ncbi	auto	20191028
Bacillus anthracis	BcII	188	abricate	ncbi	auto	20191028
Bacillus anthracis	fosB2	182	abricate	ncbi	auto	20191028
Bacillus anthracis	mph(B)	1	abricate	ncbi	auto	20191028
